gene_id,cell_cluster,exp_length,num_pa
ENSG00000105329:1,Astrocytes-Ctrl,9.142857142857142,2
ENSG00000105329:1,Astrocytes-Schi,8.795275590551181,2
ENSG00000105329:1,Endothelial-Ctrl,9.284090909090908,2
ENSG00000105329:1,Endothelial-Schi,9.202857142857143,2
ENSG00000105329:1,Mural-Ctrl,9.468354430379748,2
ENSG00000105329:1,Mural-Schi,9.325,2
ENSG00000105329:1,Myeloid-Ctrl,9.542372881355933,2
ENSG00000105329:1,Myeloid-Schi,9.4,2
ENSG00000105329:1,NA-NA,9.035714285714286,2
ENSG00000105329:1,Neurons-Ctrl,8.788461538461538,2
ENSG00000105329:1,Neurons-Schi,9.363344051446946,2
ENSG00000105329:1,Progs.-Ctrl,9.272727272727273,2
ENSG00000105329:1,Progs.-Schi,8.965312190287413,2
ENSG00000105329:1,Proliferating-Ctrl,9.242105263157894,2
ENSG00000105329:1,Proliferating-Schi,9.287826086956521,2
ENSG00000105329:1,RG-Ctrl,9.491304347826087,2
ENSG00000105329:1,RG-Schi,9.207410972088546,2
ENSG00000170291:1,Astrocytes-Ctrl,5.289719626168225,2
ENSG00000170291:1,Astrocytes-Schi,10.0,2
ENSG00000170291:1,Endothelial-Ctrl,4.960000000000001,2
ENSG00000170291:1,Endothelial-Schi,9.617021276595745,2
ENSG00000170291:1,Mural-Ctrl,3.9626334519572954,2
ENSG00000170291:1,Mural-Schi,9.880794701986755,2
ENSG00000170291:1,Myeloid-Ctrl,6.142857142857142,2
ENSG00000170291:1,Myeloid-Schi,9.465346534653465,2
ENSG00000170291:1,NA-NA,7.683168316831683,2
ENSG00000170291:1,Neurons-Ctrl,6.871657754010696,2
ENSG00000170291:1,Neurons-Schi,9.923728813559322,2
ENSG00000170291:1,Progs.-Ctrl,5.989130434782609,2
ENSG00000170291:1,Progs.-Schi,9.742857142857142,2
ENSG00000170291:1,Proliferating-Ctrl,5.627221324717286,2
ENSG00000170291:1,Proliferating-Schi,9.933530280649926,2
ENSG00000170291:1,RG-Ctrl,5.3830845771144284,2
ENSG00000170291:1,RG-Schi,9.801556420233462,2
